双楠名城一期,550.0,8,31,9996,6,2003,3,红牌楼
中粮香榭丽都,1835.0,112,94,18921,12,2012,6,丽都
布坝子街8号,332.0,48,60,9651,7,,6,猛追湾
牡丹名邸,884.0,224,270,10923,9,2001,6,桐梓林
锦江帆影,1584.0,82,66,11392,32,2009,8,中和
营和街9号,629.8,28,134,8447,7,1995,10,抚琴小区
甲壳特区,80.0,8,6,10811,7,2007,2,建设路
航天大院,111.0,0,4,4727,7,1996,2,温江老城
家和南苑,241.0,34,216,9559,6,2004,3,红牌楼
东晶丽苑,67.0,131,108,9055,11,2006,1,琉璃场
锦西民园,1928.0,154,136,9201,6,2003,12,西南交大
建发中央鹭洲,720.0,226,224,18871,31,2014,4,大源
西锦集一期,533.0,70,286,7197,6,2010,8,犀浦
和谐家园,896.0,158,224,9405,18,2006,8,茶店子
富邑华庭,78.0,1,33,8693,21,2007,1,草金立交
芳草街4号新2号,410.0,18,114,8530,7,1999,4,芳草
新桥逸景C区,142.0,34,68,6955,23,2010,4,金府
丽景欣城二,62.0,1,16,3735,6,,1,温江老城
海天阁,210.0,13,38,8176,6,2003,2,五大花园
牡丹名苑,172.0,3,56,10263,15,2000,2,川音
佳丽花园三期,459.2,29,73,11113,15,2000,7,衣冠庙
保利公园198蝴蝶谷东区,3140.0,76,10,12911,,32011,6,保利公园
武侯山庄,1199.0,17,12,22231,,3,2,红牌楼
劲草园,150.0,22,4,9746,6,1999,2,沙湾
维也纳花园,652.0,158,386,4843,6,2009,14,新都城区
上东阳光三期,2688.6,176,234,9264,18,2016,24,洪河
蓝光锦绣城一期,544.0,302,332,10682,30,2012,6,成渝立交
都市驿站,504.0,47,48,16914,13,2003,4,盐市口
美泉纪,335.0,9,33,5491,3,2009,3,温江大学城
倍特金杏苑B区,690.0,98,146,12029,11,2004,4,芳草
棠湖泊林城,590.4,6,24,8919,34,2017,6,牧马山
锦电苑,302.0,14,14,9047,7,2003,4,八里小区
欧洲印象,964.0,150,390,8476,22,2012,14,航空港
黄忠芙蓉苑,779.0,158,298,8577,6,2003,12,蜀汉路
双楠所有阳光,485.5,33,43,9453,12,2003,11,外双楠
Q城,65.0,10,14,14261,21,2005,1,攀成钢
朝阳公寓,136.0,20,10,8813,6,2000,2,金牛万达
天府长城柏南郡,2311.0,564,390,9765,,2008,24,天府长城
中航云岭二期,1040.0,0,2,8389,,2,2,牧马山
景华苑,226.0,0,2,5715,6,,4,龙泉驿城区
好莱坞商业广场,1204.0,686,870,6842,11,2003,26,紫荆
名流花园,440.0,32,58,7066,4,2000,4,五大花园
莲花新区南一巷3号3号,117.0,0,36,9072,7,1997,2,莲花
金府世家,616.0,88,114,7826,17,2009,8,五块石
华银美景,5352.0,370,1006,9860,6,2010,52,华阳
太升南路51号,68.0,26,20,11708,7,1990,1,盐市口
大观苑二期,84.0,3,37,7079,5,2011,2,蓝谷地
加贝书香尚品,1116.0,52,136,7281,15,2007,20,航空港
保利春天花语,876.0,4,50,8904,32,2015,10,大丰
龙湖金楠时光,208.0,33,77,13072,24,,2,五大花园
金沙路13号,58.0,10,30,9983,7,2000,2,沙湾
四川省原子能研究院住宅（老）,81.0,5,49,7911,6,1997,1,沙河堡
